Длина волны;1 к 1;1 к 2;1 к 3;1 к 4;1 к 5;латекс;канифоль
450;0.19214;0.13911;0.11125;0.09637;0.08728;1.08693;0.61424
451;0.19092;0.13815;0.11052;0.09575;0.08665;1.07999;0.61086
452;0.18976;0.13716;0.10966;0.09497;0.086;1.07312;0.60753
453;0.18845;0.13615;0.10878;0.09422;0.08528;1.06604;0.60419
454;0.18721;0.1353;0.10808;0.09361;0.08475;1.05925;0.60091
455;0.18594;0.13431;0.1073;0.0929;0.08408;1.0522;0.5976
456;0.18471;0.13339;0.10652;0.09216;0.08344;1.04547;0.59416
457;0.18341;0.13242;0.10562;0.09138;0.08269;1.03848;0.59068
458;0.18222;0.13152;0.1048;0.09067;0.08205;1.03169;0.58727
459;0.18106;0.13066;0.10408;0.0901;0.08154;1.02531;0.58408
460;0.17996;0.12971;0.10333;0.08949;0.08089;1.01901;0.58102
461;0.17883;0.12888;0.10263;0.08881;0.08032;1.01254;0.57784
462;0.17763;0.12801;0.10184;0.08809;0.07968;1.00595;0.57458
463;0.17648;0.12706;0.1011;0.08745;0.0791;0.9994;0.57146
464;0.17534;0.12624;0.10037;0.08684;0.07851;0.99306;0.56836
465;0.1743;0.12544;0.09975;0.08618;0.07791;0.98703;0.56532
466;0.17322;0.12453;0.099;0.08551;0.0773;0.98062;0.56221
467;0.17209;0.12375;0.09834;0.08492;0.07677;0.97449;0.55922
468;0.17111;0.12291;0.09764;0.08432;0.0762;0.96852;0.55624
469;0.1701;0.1221;0.09697;0.08379;0.07564;0.96265;0.55325
470;0.16905;0.12138;0.09636;0.08324;0.07515;0.95673;0.55034
471;0.16805;0.12054;0.09572;0.08267;0.07458;0.95079;0.54738
472;0.16692;0.11963;0.09491;0.08199;0.07401;0.94466;0.54443
473;0.16586;0.11891;0.09427;0.08133;0.07347;0.93863;0.54156
474;0.16484;0.11812;0.0936;0.08078;0.07289;0.93294;0.53873
475;0.16385;0.11737;0.093;0.08018;0.07236;0.92728;0.53586
476;0.1628;0.11656;0.09229;0.07964;0.07181;0.92125;0.53294
477;0.16182;0.11578;0.09163;0.07907;0.07126;0.91565;0.53017
478;0.16084;0.11507;0.09102;0.07858;0.07083;0.9101;0.52742
479;0.15991;0.11436;0.09044;0.078;0.07037;0.9045;0.52467
480;0.15892;0.11366;0.08983;0.07745;0.06984;0.89882;0.52194
481;0.15799;0.1129;0.08919;0.07695;0.06934;0.89359;0.51924
482;0.15698;0.11217;0.08859;0.07634;0.06885;0.88782;0.51649
483;0.15607;0.11148;0.08797;0.07581;0.06834;0.88231;0.51381
484;0.15512;0.11075;0.08734;0.0753;0.06786;0.87688;0.51111
485;0.15419;0.11009;0.08676;0.07477;0.06741;0.87158;0.50841
486;0.15329;0.10938;0.08618;0.07425;0.06693;0.86639;0.5058
487;0.15237;0.10872;0.08562;0.07378;0.06648;0.86116;0.50319
488;0.15152;0.10815;0.08516;0.07339;0.06613;0.85602;0.50075
489;0.15067;0.10748;0.08461;0.07292;0.06567;0.85083;0.49821
490;0.1499;0.10692;0.08408;0.07243;0.0652;0.84561;0.49579
491;0.14917;0.10632;0.0836;0.07201;0.06482;0.84064;0.49339
492;0.14842;0.10573;0.08311;0.07161;0.06448;0.83565;0.49094
493;0.14754;0.10503;0.08258;0.07104;0.06395;0.83067;0.48833
494;0.1467;0.1044;0.08203;0.07059;0.06358;0.82573;0.48581
495;0.14592;0.10379;0.08154;0.07019;0.06316;0.82086;0.48334
496;0.14516;0.10318;0.08101;0.06972;0.06271;0.8158;0.48083
497;0.14441;0.10258;0.08058;0.06927;0.06232;0.81099;0.47852
498;0.1436;0.10201;0.08009;0.06883;0.06195;0.80624;0.47621
499;0.14279;0.10146;0.07961;0.06841;0.06158;0.80133;0.47377
500;0.14206;0.10078;0.07909;0.06795;0.06114;0.79649;0.47133
501;0.1413;0.1002;0.07861;0.06754;0.06073;0.79176;0.46896
502;0.1405;0.09962;0.07814;0.06709;0.06032;0.78716;0.46663
503;0.13974;0.09908;0.0777;0.06668;0.05997;0.78235;0.46428
504;0.13895;0.09848;0.07719;0.06627;0.05957;0.77763;0.46198
505;0.13817;0.09787;0.07668;0.06578;0.05914;0.77283;0.45946
506;0.13747;0.09731;0.07619;0.06535;0.05878;0.76811;0.45712
507;0.13669;0.09673;0.07561;0.0649;0.05833;0.76338;0.45482
508;0.13602;0.09618;0.07521;0.06447;0.05797;0.75887;0.45256
509;0.13535;0.09564;0.07475;0.06413;0.05759;0.75438;0.45035
510;0.13457;0.09508;0.07431;0.06372;0.05719;0.74977;0.44797
511;0.13376;0.09448;0.07384;0.06331;0.05688;0.74513;0.44569
512;0.13304;0.09399;0.07343;0.06297;0.05658;0.7408;0.44357
513;0.13229;0.09341;0.07297;0.06255;0.05617;0.73643;0.44135
514;0.13165;0.0929;0.07259;0.06216;0.05582;0.73213;0.43925
515;0.13101;0.09239;0.07213;0.0618;0.0555;0.72781;0.4371
516;0.13031;0.09187;0.07173;0.06143;0.05518;0.72346;0.435
517;0.12965;0.09131;0.07124;0.061;0.05478;0.71925;0.43283
518;0.12898;0.09081;0.0708;0.06062;0.05443;0.71504;0.43071
519;0.1283;0.0903;0.07042;0.06027;0.05409;0.71095;0.42863
520;0.12767;0.08992;0.07007;0.06;0.05382;0.70703;0.42665
521;0.12701;0.08942;0.06969;0.05965;0.05353;0.70293;0.42465
522;0.12633;0.08891;0.06921;0.05925;0.05318;0.69875;0.42256
523;0.1257;0.08841;0.06877;0.05882;0.05284;0.69453;0.42046
524;0.12509;0.08789;0.06837;0.0585;0.05254;0.69052;0.4185
525;0.1244;0.08749;0.06802;0.05821;0.05226;0.68648;0.4165
526;0.12381;0.08707;0.06766;0.05788;0.0519;0.68266;0.41455
527;0.12321;0.08658;0.06723;0.05754;0.05154;0.67871;0.41254
528;0.12254;0.08604;0.0668;0.05719;0.05125;0.67464;0.41054
529;0.12198;0.08562;0.06645;0.05687;0.05101;0.67081;0.40855
